id,category,store,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
71232,PHONE,Anhoch,10480.0,9380.0,9380.0,9380.0,9380.0
71233,PHONE,Anhoch,10480.0,9380.0,9380.0,9380.0,9380.0
71234,PHONE,Anhoch,11480.0,10480.0,10080.0,10080.0,9980.0
71235,PHONE,Anhoch,11480.0,10480.0,10080.0,10080.0,9980.0
71236,PHONE,Anhoch,11480.0,10480.0,10080.0,10080.0,9980.0
71238,PHONE,Anhoch,11480.0,10480.0,10080.0,10080.0,9980.0
71239,PHONE,Anhoch,11780.0,11980.0,11480.0,11280.0,10980.0
71240,PHONE,Anhoch,11780.0,11980.0,11480.0,11280.0,10980.0
71241,PHONE,Anhoch,11780.0,11980.0,11480.0,11280.0,10980.0
71242,PHONE,Anhoch,11980.0,11980.0,11980.0,11980.0,10980.0
71243,PHONE,Anhoch,11980.0,11980.0,11980.0,11980.0,10980.0
71244,PHONE,Anhoch,11980.0,11980.0,11980.0,11980.0,10980.0
71246,PHONE,Anhoch,13480.0,13980.0,13980.0,13980.0,13980.0
71248,PHONE,Anhoch,13980.0,13980.0,13980.0,14580.0,14580.0
71249,PHONE,Anhoch,13980.0,13980.0,13980.0,14580.0,14580.0
71250,PHONE,Anhoch,13980.0,13980.0,13980.0,14580.0,14580.0
71251,PHONE,Anhoch,13980.0,13980.0,13980.0,13980.0,13480.0
71252,PHONE,Anhoch,13980.0,13980.0,13980.0,13980.0,13480.0
71253,PHONE,Anhoch,14980.0,14980.0,14980.0,14980.0,14980.0
71254,PHONE,Anhoch,14980.0,14480.0,13980.0,13980.0,13980.0
71255,PHONE,Anhoch,14980.0,14980.0,14980.0,14980.0,14980.0
71256,PHONE,Anhoch,14980.0,14980.0,14980.0,14980.0,14980.0
71257,PHONE,Anhoch,17480.0,17480.0,16980.0,16980.0,16980.0
71260,PHONE,Anhoch,18980.0,19980.0,18980.0,18980.0,18980.0
